# angle_deg distance_mm
122.703 2649.500
124.109 2649.750
125.484 2660.750
126.891 2667.750
145.391 1651.000
276.609 1891.250
280.156 931.000
281.562 940.750
282.953 964.500
286.172 793.500
287.531 786.500
312.359 202.500
314.453 201.000
333.250 560.500
334.500 558.750
336.078 557.500
337.344 557.250
340.891 2725.750
342.344 2735.000
346.797 1861.250
348.156 1826.250
349.578 1801.750
350.984 1782.500
352.438 1764.000
353.844 1741.750
355.250 1718.500
9.047 2209.250
14.609 2187.750
16.016 2180.250
17.438 2178.500
18.812 2177.000
20.219 2176.750
21.609 2178.250
23.016 2180.250
24.406 2182.250
28.609 2191.250
30.016 2200.250
31.406 2212.250
32.812 2225.750
34.219 2239.250
35.609 2255.500
36.969 2275.750
38.391 2295.250
39.781 2313.000
41.172 2334.250
42.594 2362.750
43.984 2389.500
47.312 1229.500
48.719 1222.250
50.109 1224.250
51.578 1229.000
52.922 1233.250
54.359 1244.750
57.594 896.000
58.953 889.750
60.469 891.500
61.859 903.750
82.328 586.000
83.844 576.250
85.188 568.000
86.719 562.500
88.016 558.500
89.578 555.250
90.859 553.500
92.297 552.750
93.609 553.250
95.094 554.750
101.922 582.000
103.141 591.500
104.688 606.750
122.250 2621.500
123.656 2647.250
144.953 1662.750
146.406 1637.250
175.906 229.500
269.906 494.000
276.016 1901.750
281.000 934.750
282.297 959.750
285.531 800.500
286.875 786.250
295.453 2229.000
313.797 200.500
335.312 558.000
336.688 557.000
341.672 2707.250
343.047 2684.750
347.469 1837.250
348.859 1810.000
350.312 1790.000
351.703 1772.250
353.094 1751.750
354.531 1728.250
355.938 1720.750
9.766 2202.000
12.531 2186.500
13.922 2182.500
15.328 2180.250
16.719 2178.750
18.125 2178.250
19.531 2177.000
20.906 2177.500
22.297 2180.250
23.703 2180.750
27.906 2189.750
29.297 2196.000
30.672 2204.500
32.062 2217.250
33.484 2233.000
34.953 2249.500
36.359 2268.000
37.750 2285.000
39.125 2302.750
40.531 2325.500
41.953 2350.750
43.328 2376.250
44.750 2405.750
48.078 1228.500
49.531 1224.250
50.922 1227.000
52.359 1231.250
53.734 1242.000
56.984 904.500
58.344 888.000
59.812 886.000
61.156 893.000
81.875 590.250
83.359 579.000
84.703 571.000
86.031 565.000
87.562 561.000
88.797 556.750
90.172 554.000
91.547 553.000
92.969 553.500
94.422 554.500
101.297 578.250
102.766 587.250
103.922 600.750
121.672 2687.000
123.078 2651.750
145.797 1646.500
184.734 201.500
267.875 485.500
276.781 1889.750
280.328 932.250
281.797 945.750
283.141 968.250
286.297 790.750
287.688 787.000
294.812 2241.000
309.688 208.000
311.766 205.000
313.172 202.750
333.234 560.750
334.578 558.750
336.125 557.500
337.391 557.000
340.922 2725.500
342.312 2734.750
346.781 1860.750
348.188 1826.000
349.578 1802.000
351.016 1782.750
352.422 1763.750
353.797 1741.500
355.188 1718.750
8.984 2210.250
14.609 2188.250
16.016 2181.000
17.422 2179.500
18.844 2177.250
20.219 2176.500
21.625 2179.000
23.031 2181.000
24.422 2182.500
28.625 2191.250
30.031 2200.500
31.391 2212.250
32.812 2225.750
34.219 2240.000
35.703 2259.000
37.109 2279.000
38.484 2295.500
39.922 2313.250
41.312 2337.250
42.688 2366.750
44.125 2391.250
47.500 1229.500
48.859 1223.000
50.312 1226.250
51.672 1231.000
53.062 1238.000
54.500 1249.000
57.797 892.750
59.172 888.000
60.594 890.750
81.141 598.250
82.422 584.500
84.109 575.000
85.312 567.000
86.859 561.750
88.297 557.750
89.578 555.000
91.062 553.250
92.516 553.500
93.844 553.500
95.109 556.000
102.000 583.250
103.531 593.500
119.766 2662.000
121.172 2653.000
122.578 2647.750
123.984 2649.500
125.359 2651.500
126.797 2651.000
145.328 1652.000
267.531 482.250
